"MEASURE","Measure","PROP_TYPE","Property type","ASGS_2011","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Index Number","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q4","Dec-2018",109.3,,
"1","Index Number","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",107.6,,
"1","Index Number","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",107.5,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q3","Sep-2017",0.7,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q4","Dec-2017",0.9,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q1","Mar-2018",-0.6,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q2","Jun-2018",0.7,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q3","Sep-2018",0.6,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q4","Dec-2018",-1.1,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",-1.5,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",-0.7,,
